State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Goa,Goa,Rice,2002-03,Rabi,16441,Hectare,44695,Tonnes,2.71850860653244
Goa,Goa,Rice,2003-04,Kharif,35471,Hectare,115996,Tonnes,3.27016435961771
Goa,Goa,Rice,2003-04,Rabi,17330,Hectare,54665,Tonnes,3.15435660703981
Goa,Goa,Sugarcane,2001-02,Whole Year,1205,Hectare,70565,Tonnes,58.5601659751037
Goa,Goa,Sugarcane,2002-03,Whole Year,1188,Hectare,65470,Tonnes,55.1094276094276
Goa,Goa,Sugarcane,2003-04,Whole Year,1210,Hectare,57607,Tonnes,47.6090909090909
Gujarat,AHMADABAD,Arhar/Tur,2001-02,Kharif,2800,Hectare,1800,Tonnes,0.642857142857142
Gujarat,AHMADABAD,Arhar/Tur,2002-03,Kharif,3100,Hectare,1900,Tonnes,0.612903225806451
Gujarat,BANAS KANTHA,Bajra,2002-03,Summer,76800,Hectare,109600,Tonnes,1.42708333333333
Gujarat,BANAS KANTHA,Bajra,2003-04,Kharif,197700,Hectare,241000,Tonnes,1.21901871522508
Gujarat,BANAS KANTHA,Bajra,2003-04,Summer,81100,Hectare,165800,Tonnes,2.04438964241676
Gujarat,BHARUCH,Bajra,2001-02,Kharif,2300,Hectare,2800,Tonnes,1.21739130434782
Gujarat,BHARUCH,Bajra,2001-02,Summer,600,Hectare,1100,Tonnes,1.83333333333333
Gujarat,BHARUCH,Bajra,2002-03,Kharif,2900,Hectare,2500,Tonnes,0.862068965517241
Gujarat,BHARUCH,Bajra,2002-03,Summer,800,Hectare,1300,Tonnes,1.625
Gujarat,BHARUCH,Bajra,2003-04,Kharif,3100,Hectare,4200,Tonnes,1.35483870967741
Gujarat,BHARUCH,Bajra,2003-04,Summer,100,Hectare,300,Tonnes,3
Gujarat,BHAVNAGAR,Bajra,2001-02,Kharif,82200,Hectare,144700,Tonnes,1.7603406326034
Gujarat,BHAVNAGAR,Bajra,2002-03,Kharif,82400,Hectare,166900,Tonnes,2.0254854368932
Gujarat,BHAVNAGAR,Bajra,2002-03,Summer,100,Hectare,100,Tonnes,1
Gujarat,BHAVNAGAR,Bajra,2003-04,Kharif,70000,Hectare,142200,Tonnes,2.03142857142857
Gujarat,DOHAD,Bajra,2003-04,Kharif,200,Hectare,300,Tonnes,1.5
Gujarat,GANDHINAGAR,Bajra,2001-02,Kharif,4200,Hectare,6900,Tonnes,1.64285714285714
Gujarat,GANDHINAGAR,Bajra,2001-02,Summer,6000,Hectare,12900,Tonnes,2.15
Gujarat,GANDHINAGAR,Bajra,2002-03,Kharif,3900,Hectare,6600,Tonnes,1.69230769230769
Gujarat,GANDHINAGAR,Bajra,2002-03,Summer,1000,Hectare,2400,Tonnes,2.4
Gujarat,GANDHINAGAR,Bajra,2003-04,Kharif,28900,Hectare,41000,Tonnes,1.41868512110726
Gujarat,SURAT,Castor seed,2001-02,Kharif,400,Hectare,700,Tonnes,1.75
Gujarat,SURAT,Castor seed,2002-03,Kharif,600,Hectare,700,Tonnes,1.16666666666666
Gujarat,SURAT,Castor seed,2003-04,Kharif,400,Hectare,700,Tonnes,1.75
Gujarat,SURENDRANAGAR,Castor seed,2001-02,Kharif,8100,Hectare,14700,Tonnes,1.81481481481481
Gujarat,SURENDRANAGAR,Castor seed,2002-03,Kharif,13600,Hectare,19900,Tonnes,1.46323529411764
Gujarat,SURENDRANAGAR,Castor seed,2003-04,Kharif,6700,Hectare,16200,Tonnes,2.41791044776119
Gujarat,VADODARA,Castor seed,2001-02,Kharif,7500,Hectare,9400,Tonnes,1.25333333333333
Gujarat,VADODARA,Castor seed,2002-03,Kharif,8100,Hectare,10500,Tonnes,1.29629629629629
Gujarat,VADODARA,Castor seed,2003-04,Kharif,5800,Hectare,8700,Tonnes,1.5
Haryana,FATEHABAD,Gram,2002-03,Rabi,1639,Hectare,2000,Tonnes,1.2202562538133
Haryana,FATEHABAD,Gram,2003-04,Rabi,2673,Hectare,3000,Tonnes,1.12233445566778
Haryana,GURGAON,Gram,2001-02,Rabi,1600,Hectare,1000,Tonnes,0.625
Haryana,GURGAON,Gram,2002-03,Rabi,707,Hectare,1000,Tonnes,1.41442715700141
Haryana,GURGAON,Gram,2003-04,Rabi,1907,Hectare,2000,Tonnes,1.0487676979549
Haryana,HISAR,Gram,2001-02,Rabi,16519,Hectare,15000,Tonnes,0.908045281191355
Haryana,HISAR,Gram,2002-03,Rabi,5140,Hectare,4000,Tonnes,0.778210116731517
Haryana,HISAR,Gram,2003-04,Rabi,16449,Hectare,13000,Tonnes,0.79032160009727
Haryana,JHAJJAR,Gram,2001-02,Rabi,3570,Hectare,4000,Tonnes,1.1204481792717
Haryana,JHAJJAR,Gram,2002-03,Rabi,1835,Hectare,2000,Tonnes,1.08991825613079
Haryana,JHAJJAR,Gram,2003-04,Rabi,1998,Hectare,2000,Tonnes,1.001001001001
Haryana,JIND,Gram,2001-02,Rabi,735,Hectare,1000,Tonnes,1.36054421768707
Haryana,JIND,Gram,2002-03,Rabi,642,Hectare,1000,Tonnes,1.55763239875389
Haryana,JIND,Gram,2003-04,Rabi,593,Hectare,1000,Tonnes,1.68634064080944
Haryana,KAITHAL,Gram,2001-02,Rabi,483,Hectare,0,Tonnes,0
Haryana,KAITHAL,Gram,2002-03,Rabi,329,Hectare,0,Tonnes,0
Haryana,KAITHAL,Gram,2003-04,Rabi,251,Hectare,0,Tonnes,0
Haryana,KARNAL,Gram,2001-02,Rabi,323,Hectare,0,Tonnes,0
Haryana,KARNAL,Gram,2002-03,Rabi,255,Hectare,0,Tonnes,0
Haryana,KARNAL,Gram,2003-04,Rabi,234,Hectare,0,Tonnes,0
Haryana,KURUKSHETRA,Gram,2001-02,Rabi,202,Hectare,0,Tonnes,0
Haryana,KURUKSHETRA,Gram,2002-03,Rabi,143,Hectare,0,Tonnes,0
Haryana,KURUKSHETRA,Gram,2003-04,Rabi,153,Hectare,0,Tonnes,0
Haryana,MAHENDRAGARH,Gram,2001-02,Rabi,13873,Hectare,11000,Tonnes,0.792907085706047
Haryana,MAHENDRAGARH,Gram,2002-03,Rabi,7459,Hectare,6000,Tonnes,0.804397372301917
Haryana,MAHENDRAGARH,Gram,2003-04,Rabi,18272,Hectare,17000,Tonnes,0.930385288966725
Haryana,PANCHKULA,Gram,2001-02,Rabi,554,Hectare,1000,Tonnes,1.80505415162454
Haryana,PANCHKULA,Gram,2002-03,Rabi,586,Hectare,1000,Tonnes,1.70648464163822
Haryana,PANCHKULA,Gram,2003-04,Rabi,502,Hectare,1000,Tonnes,1.99203187250996
Haryana,PANIPAT,Gram,2001-02,Rabi,165,Hectare,0,Tonnes,0
Haryana,PANIPAT,Gram,2002-03,Rabi,161,Hectare,0,Tonnes,0
Haryana,PANIPAT,Gram,2003-04,Rabi,115,Hectare,0,Tonnes,0
Haryana,REWARI,Gram,2001-02,Rabi,1052,Hectare,1000,Tonnes,0.950570342205323
Haryana,REWARI,Gram,2002-03,Rabi,304,Hectare,0,Tonnes,0
Haryana,REWARI,Gram,2003-04,Rabi,1396,Hectare,1000,Tonnes,0.716332378223495
Haryana,ROHTAK,Gram,2001-02,Rabi,2631,Hectare,2000,Tonnes,0.760167236792094
Haryana,ROHTAK,Gram,2002-03,Rabi,2254,Hectare,2000,Tonnes,0.887311446317657
Haryana,ROHTAK,Gram,2003-04,Rabi,1937,Hectare,2000,Tonnes,1.0325245224574
Haryana,SIRSA,Gram,2001-02,Rabi,15877,Hectare,14000,Tonnes,0.881778673552938
Haryana,SIRSA,Gram,2002-03,Rabi,6692,Hectare,6000,Tonnes,0.896592946802151
Haryana,SIRSA,Gram,2003-04,Rabi,18409,Hectare,14000,Tonnes,0.760497582704112
