State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Madhya Pradesh,BARWANI,Arhar/Tur,2002-03,Kharif,4910,Hectare,1800,Tonnes,0.366598778004073
Madhya Pradesh,BARWANI,Arhar/Tur,2003-04,Kharif,5081,Hectare,2445,Tonnes,0.481204487305648
Madhya Pradesh,BETUL,Arhar/Tur,2001-02,Kharif,17381,Hectare,12819,Tonnes,0.737529486220585
Madhya Pradesh,BETUL,Arhar/Tur,2002-03,Kharif,21873,Hectare,12362,Tonnes,0.565171672838659
Madhya Pradesh,BETUL,Arhar/Tur,2003-04,Kharif,22827,Hectare,16623,Tonnes,
Madhya Pradesh,BHIND,Arhar/Tur,2001-02,Kharif,8127,Hectare,6615,Tonnes,0.813953488372093
Madhya Pradesh,BHIND,Arhar/Tur,2002-03,Kharif,7589,Hectare,4698,Tonnes,0.619053893793648
Madhya Pradesh,BHIND,Arhar/Tur,2003-04,Kharif,7925,Hectare,5077,Tonnes,0.640630914826498
Madhya Pradesh,BHOPAL,Arhar/Tur,2001-02,Kharif,930,Hectare,650,Tonnes,0.698924731182795
Madhya Pradesh,BHOPAL,Arhar/Tur,2002-03,Kharif,1058,Hectare,590,Tonnes,0.55765595463138
Madhya Pradesh,BHOPAL,Arhar/Tur,2003-04,Kharif,1196,Hectare,643,Tonnes,0.5376254180602
Madhya Pradesh,BURHANPUR,Arhar/Tur,2003-04,Kharif,3991,Hectare,4409,Tonnes,1.10473565522425
Madhya Pradesh,CHHATARPUR,Arhar/Tur,2001-02,Kharif,8738,Hectare,4172,Tonnes,0.477454795147631
Madhya Pradesh,CHHATARPUR,Arhar/Tur,2002-03,Kharif,8183,Hectare,2414,Tonnes,0.295001833068556
Madhya Pradesh,CHHATARPUR,Arhar/Tur,2003-04,Kharif,8459,Hectare,4462,Tonnes,0.527485518382787
Madhya Pradesh,CHHINDWARA,Arhar/Tur,2001-02,Kharif,21664,Hectare,23755,Tonnes,1.09651957163958
Madhya Pradesh,CHHINDWARA,Arhar/Tur,2002-03,Kharif,21728,Hectare,22286,Tonnes,1.02568114874815
Madhya Pradesh,CHHINDWARA,Arhar/Tur,2003-04,Kharif,22156,Hectare,36392,Tonnes,1.64253475356562
Madhya Pradesh,DAMOH,Arhar/Tur,2001-02,Kharif,2555,Hectare,1804,Tonnes,0.706066536203522
Madhya Pradesh,DAMOH,Arhar/Tur,2002-03,Kharif,2899,Hectare,1257,Tonnes,0.433597792342187
Madhya Pradesh,DAMOH,Arhar/Tur,2003-04,Kharif,2752,Hectare,1741,Tonnes,0.632630813953488
Madhya Pradesh,DATIA,Arhar/Tur,2001-02,Kharif,4133,Hectare,3274,Tonnes,0.79216065811759
Madhya Pradesh,DATIA,Arhar/Tur,2002-03,Kharif,2841,Hectare,1092,Tonnes,0.384371700105596
Madhya Pradesh,DATIA,Arhar/Tur,2003-04,Kharif,2959,Hectare,1534,Tonnes,0.518418384589388
Madhya Pradesh,DEWAS,Arhar/Tur,2001-02,Kharif,10060,Hectare,7097,Tonnes,0.705467196819085
Madhya Pradesh,DEWAS,Arhar/Tur,2002-03,Kharif,7584,Hectare,3866,Tonnes,0.509757383966244
Madhya Pradesh,DEWAS,Arhar/Tur,2003-04,Kharif,10079,Hectare,6249,Tonnes,0.620001984323841
Madhya Pradesh,DHAR,Arhar/Tur,2001-02,Kharif,4135,Hectare,,Tonnes,0.499153567110036
Madhya Pradesh,DHAR,Arhar/Tur,2002-03,Kharif,4948,Hectare,2522,Tonnes,0.509700889248181
Madhya Pradesh,DHAR,Arhar/Tur,2003-04,Kharif,4031,Hectare,2387,Tonnes,0.592160754155296
Madhya Pradesh,DINDORI,Arhar/Tur,2001-02,Kharif,2390,Hectare,2603,Tonnes,1.08912133891213
Madhya Pradesh,DINDORI,Arhar/Tur,2002-03,Kharif,3103,Hectare,2218,Tonnes,0.714792136641959
Madhya Pradesh,DINDORI,Arhar/Tur,2003-04,Kharif,3127,Hectare,2474,Tonnes,0.791173648864726
Madhya Pradesh,GUNA,Arhar/Tur,2001-02,Kharif,1169,Hectare,888,Tonnes,0.759623609923011
Madhya Pradesh,GUNA,Arhar/Tur,2002-03,Kharif,553,Hectare,134,Tonnes,0.242314647377938
Madhya Pradesh,GUNA,Arhar/Tur,2003-04,Kharif,450,Hectare,262,Tonnes,0.582222222222222
Madhya Pradesh,GWALIOR,Arhar/Tur,2001-02,Kharif,1761,Hectare,1666,Tonnes,0.946053378762067
Madhya Pradesh,GWALIOR,Arhar/Tur,2002-03,Kharif,1031,Hectare,253,Tonnes,0.245392822502424
Madhya Pradesh,GWALIOR,Arhar/Tur,2003-04,Kharif,596,Hectare,475,Tonnes,0.796979865771812
Madhya Pradesh,HARDA,Arhar/Tur,2001-02,Kharif,2662,Hectare,3146,Tonnes,1.18181818181818
Madhya Pradesh,HARDA,Arhar/Tur,2002-03,Kharif,2864,Hectare,2837,Tonnes,0.990572625698324
Madhya Pradesh,HARDA,Arhar/Tur,2003-04,Kharif,2879,Hectare,2697,Tonnes,0.936783605418548
Madhya Pradesh,HOSHANGABAD,Arhar/Tur,2001-02,Kharif,10221,Hectare,13348,Tonnes,1.30593875354661
Madhya Pradesh,HOSHANGABAD,Arhar/Tur,2002-03,Kharif,9205,Hectare,9592,Tonnes,1.0420423682781
Madhya Pradesh,HOSHANGABAD,Arhar/Tur,2003-04,Kharif,8180,Hectare,8966,Tonnes,1.0960880195599
Madhya Pradesh,INDORE,Arhar/Tur,2001-02,Kharif,593,Hectare,371,Tonnes,0.625632377740303
Madhya Pradesh,INDORE,Arhar/Tur,2002-03,Kharif,612,Hectare,347,Tonnes,0.566993464052287
Madhya Pradesh,INDORE,Arhar/Tur,2003-04,Kharif,647,Hectare,415,Tonnes,0.641421947449768
Madhya Pradesh,JABALPUR,Arhar/Tur,2001-02,Kharif,4791,Hectare,7539,Tonnes,1.5735754539762
Madhya Pradesh,JABALPUR,Arhar/Tur,2002-03,Kharif,4884,Hectare,4547,Tonnes,0.930999180999181
Madhya Pradesh,JABALPUR,Arhar/Tur,2003-04,Kharif,5395,Hectare,8260,Tonnes,1.53104726598702
Madhya Pradesh,JHABUA,Arhar/Tur,2001-02,Kharif,5080,Hectare,2315,Tonnes,0.455708661417322
Madhya Pradesh,JHABUA,Arhar/Tur,2002-03,Kharif,4547,Hectare,2034,Tonnes,0.447327908511106
Madhya Pradesh,JHABUA,Arhar/Tur,2003-04,Kharif,5742,Hectare,3348,Tonnes,0.583072100313479
Madhya Pradesh,KATNI,Arhar/Tur,2001-02,Kharif,3716,Hectare,4199,Tonnes,1.1299784714747
Madhya Pradesh,KATNI,Arhar/Tur,2002-03,Kharif,4920,Hectare,3109,Tonnes,0.631910569105691
Madhya Pradesh,KATNI,Arhar/Tur,2003-04,Kharif,4612,Hectare,4840,Tonnes,1.04943625325238
Madhya Pradesh,KHANDWA,Arhar/Tur,2001-02,Kharif,14343,Hectare,14979,Tonnes,1.04434218782681
Madhya Pradesh,KHANDWA,Arhar/Tur,2002-03,Kharif,13893,Hectare,13285,Tonnes,0.956236953861657
Madhya Pradesh,KHANDWA,Arhar/Tur,2003-04,Kharif,10824,Hectare,10711,Tonnes,0.989560236511456
Madhya Pradesh,KHARGONE,Arhar/Tur,2001-02,Kharif,15787,Hectare,8908,Tonnes,0.564261734338379
Madhya Pradesh,KHARGONE,Arhar/Tur,2002-03,Kharif,15019,Hectare,6716,Tonnes,0.447166921898928
Madhya Pradesh,KHARGONE,Arhar/Tur,2003-04,Kharif,15222,Hectare,8170,Tonnes,0.536723163841808
Madhya Pradesh,MANDLA,Arhar/Tur,2001-02,Kharif,2281,Hectare,2531,Tonnes,1.1096010521701
Madhya Pradesh,MANDLA,Arhar/Tur,2002-03,Kharif,2704,Hectare,2068,Tonnes,0.764792899408284
Madhya Pradesh,MANDLA,Arhar/Tur,2003-04,Kharif,3549,Hectare,3236,Tonnes,0.911806142575373
Madhya Pradesh,MANDSAUR,Arhar/Tur,2001-02,Kharif,1199,Hectare,703,Tonnes,0.586321934945788
Madhya Pradesh,MANDSAUR,Arhar/Tur,2002-03,Kharif,1147,Hectare,410,Tonnes,0.35745422842197
Madhya Pradesh,MANDSAUR,Arhar/Tur,2003-04,Kharif,1157,Hectare,567,Tonnes,0.490060501296456
Madhya Pradesh,MORENA,Arhar/Tur,2001-02,Kharif,6982,Hectare,7111,Tonnes,1.01847608135204
Madhya Pradesh,MORENA,Arhar/Tur,2002-03,Kharif,5093,Hectare,3014,Tonnes,0.591792656587473
Madhya Pradesh,MORENA,Arhar/Tur,2003-04,Kharif,5244,Hectare,4031,Tonnes,0.768688024408848
Madhya Pradesh,NARSINGHPUR,Arhar/Tur,2001-02,Kharif,15569,Hectare,28420,Tonnes,1.82542231357184
Madhya Pradesh,NARSINGHPUR,Arhar/Tur,2002-03,Kharif,16411,Hectare,16971,Tonnes,1.034123453781
Madhya Pradesh,NARSINGHPUR,Arhar/Tur,2003-04,Kharif,19710,Hectare,30296,Tonnes,1.53708777270421
Madhya Pradesh,NEEMUCH,Arhar/Tur,2001-02,Kharif,578,Hectare,340,Tonnes,0.588235294117647
Madhya Pradesh,NEEMUCH,Arhar/Tur,2002-03,Kharif,454,Hectare,129,Tonnes,0.284140969162995
Madhya Pradesh,NEEMUCH,Arhar/Tur,2003-04,Kharif,453,Hectare,285,Tonnes,0.629139072847682
Madhya Pradesh,PANNA,Arhar/Tur,2001-02,Kharif,4821,Hectare,2617,Tonnes,0.542833437046256
Madhya Pradesh,PANNA,Arhar/Tur,2002-03,Kharif,5424,Hectare,2086,Tonnes,0.384587020648967
Madhya Pradesh,PANNA,Arhar/Tur,2003-04,Kharif,4628,Hectare,2355,Tonnes,0.50885911840968
Madhya Pradesh,RAISEN,Arhar/Tur,2001-02,Kharif,22874,Hectare,16804,Tonnes,0.734633208009093
Madhya Pradesh,RAISEN,Arhar/Tur,2002-03,Kharif,19976,Hectare,12093,Tonnes,0.60537645174209
Madhya Pradesh,RAISEN,Arhar/Tur,2003-04,Kharif,19572,Hectare,13374,Tonnes,0.683323114653586
Madhya Pradesh,RAJGARH,Arhar/Tur,2001-02,Kharif,3772,Hectare,1588,Tonnes,0.420996818663838
Madhya Pradesh,RAJGARH,Arhar/Tur,2002-03,Kharif,3928,Hectare,1123,Tonnes,0.285896130346232
Madhya Pradesh,RAJGARH,Arhar/Tur,2003-04,Kharif,4418,Hectare,3079,Tonnes,0.696921684019918
Madhya Pradesh,RATLAM,Arhar/Tur,2001-02,Kharif,839,Hectare,397,Tonnes,0.473182359952324
Madhya Pradesh,RATLAM,Arhar/Tur,2002-03,Kharif,1027,Hectare,700,Tonnes,0.681596884128529
Madhya Pradesh,RATLAM,Arhar/Tur,2003-04,Kharif,1229,Hectare,992,Tonnes,0.807160292921074
Madhya Pradesh,REWA,Arhar/Tur,2001-02,Kharif,11194,Hectare,6230,Tonnes,0.556548150795068
Madhya Pradesh,REWA,Arhar/Tur,2002-03,Kharif,11894,Hectare,4364,Tonnes,0.36690768454683
Madhya Pradesh,REWA,Arhar/Tur,2003-04,Kharif,12096,Hectare,5740,Tonnes,0.474537037037037
Madhya Pradesh,SAGAR,Arhar/Tur,2001-02,Kharif,2528,Hectare,1547,Tonnes,0.611946202531645
Madhya Pradesh,SAGAR,Arhar/Tur,2002-03,Kharif,3853,Hectare,1439,Tonnes,0.373475214118868
Madhya Pradesh,SAGAR,Arhar/Tur,2003-04,Kharif,3647,Hectare,2093,Tonnes,0.573896353166986
Madhya Pradesh,SATNA,Arhar/Tur,2001-02,Kharif,12361,Hectare,8048,Tonnes,0.651080009707952
Madhya Pradesh,SATNA,Arhar/Tur,2002-03,Kharif,12904,Hectare,4615,Tonnes,0.357641041537507
Madhya Pradesh,SATNA,Arhar/Tur,2003-04,Kharif,12842,Hectare,6299,Tonnes,0.490499922130509
Madhya Pradesh,SEHORE,Arhar/Tur,2001-02,Kharif,7769,Hectare,4918,Tonnes,0.633028703822885
Madhya Pradesh,SEHORE,Arhar/Tur,2002-03,Kharif,7847,Hectare,6141,Tonnes,0.782592073403848
Madhya Pradesh,SEHORE,Arhar/Tur,2003-04,Kharif,7370,Hectare,5968,Tonnes,0.809769335142469
Madhya Pradesh,SEONI,Arhar/Tur,2001-02,Kharif,5890,Hectare,7524,Tonnes,1.2774193548387
Madhya Pradesh,SEONI,Arhar/Tur,2002-03,Kharif,6547,Hectare,6891,Tonnes,1.05254314953413
Madhya Pradesh,SEONI,Arhar/Tur,2003-04,Kharif,7117,Hectare,7751,Tonnes,1.08908247857243
Madhya Pradesh,SHAHDOL,Arhar/Tur,2001-02,Kharif,10139,Hectare,6052,Tonnes,0.596903047637834
Madhya Pradesh,SHAHDOL,Arhar/Tur,2002-03,Kharif,10156,Hectare,3633,Tonnes,0.357719574635683
Madhya Pradesh,SHAHDOL,Arhar/Tur,2003-04,Kharif,7993,Hectare,4438,Tonnes,0.555235831352433
Madhya Pradesh,SHAJAPUR,Arhar/Tur,2001-02,Kharif,2409,Hectare,1589,Tonnes,0.659609796596098
Madhya Pradesh,SHAJAPUR,Arhar/Tur,2002-03,Kharif,2563,Hectare,952,Tonnes,0.371439719079204
Madhya Pradesh,SHAJAPUR,Arhar/Tur,2003-04,Kharif,3014,Hectare,1836,Tonnes,0.609157266091572
Madhya Pradesh,SHEOPUR,Arhar/Tur,2001-02,Kharif,1903,Hectare,1524,Tonnes,0.80084077771939
Madhya Pradesh,SHEOPUR,Arhar/Tur,2002-03,Kharif,645,Hectare,176,Tonnes,0.272868217054263
Madhya Pradesh,SHEOPUR,Arhar/Tur,2003-04,Kharif,1372,Hectare,1055,Tonnes,0.768950437317784
Madhya Pradesh,SHIVPURI,Arhar/Tur,2001-02,Kharif,900,Hectare,635,Tonnes,0.705555555555555
Madhya Pradesh,SHIVPURI,Arhar/Tur,2002-03,Kharif,318,Hectare,57,Tonnes,0.179245283018867
Madhya Pradesh,SHIVPURI,Arhar/Tur,2003-04,Kharif,540,Hectare,330,Tonnes,0.611111111111111
Madhya Pradesh,SIDHI,Arhar/Tur,2001-02,Kharif,31033,Hectare,15155,Tonnes,0.488351110108594
Madhya Pradesh,SIDHI,Arhar/Tur,2002-03,Kharif,31395,Hectare,12635,Tonnes,0.402452619843924
Madhya Pradesh,SIDHI,Arhar/Tur,2003-04,Kharif,31579,Hectare,16072,Tonnes,0.508945818423636
Madhya Pradesh,TIKAMGARH,Arhar/Tur,2001-02,Kharif,1479,Hectare,1166,Tonnes,0.788370520622041
Madhya Pradesh,TIKAMGARH,Arhar/Tur,2002-03,Kharif,878,Hectare,467,Tonnes,0.531890660592255
Madhya Pradesh,TIKAMGARH,Arhar/Tur,2003-04,Kharif,289,Hectare,164,Tonnes,0.567474048442906
Madhya Pradesh,UJJAIN,Arhar/Tur,2001-02,Kharif,1074,Hectare,508,Tonnes,0.472998137802607
Madhya Pradesh,UJJAIN,Arhar/Tur,2002-03,Kharif,1179,Hectare,368,Tonnes,0.312128922815945
Madhya Pradesh,UJJAIN,Arhar/Tur,2003-04,Kharif,1395,Hectare,985,Tonnes,0.706093189964157
Madhya Pradesh,UMARIA,Arhar/Tur,2001-02,Kharif,4875,Hectare,2646,Tonnes,0.54276923076923
Madhya Pradesh,UMARIA,Arhar/Tur,2002-03,Kharif,5295,Hectare,2369,Tonnes,0.447403210576015
Madhya Pradesh,UMARIA,Arhar/Tur,2003-04,Kharif,5281,Hectare,2687,Tonnes,0.50880515053967
Madhya Pradesh,VIDISHA,Arhar/Tur,2001-02,Kharif,866,Hectare,656,Tonnes,0.757505773672055
Madhya Pradesh,VIDISHA,Arhar/Tur,2002-03,Kharif,857,Hectare,460,Tonnes,0.536756126021003
Madhya Pradesh,VIDISHA,Arhar/Tur,2003-04,Kharif,897,Hectare,614,Tonnes,0.684503901895206
Madhya Pradesh,ANUPPUR,Bajra,2003-04,Kharif,1,Hectare,2,Tonnes,2
Madhya Pradesh,BALAGHAT,Bajra,2001-02,Kharif,2,Hectare,1,Tonnes,0.5
Madhya Pradesh,BALAGHAT,Bajra,2002-03,Kharif,5,Hectare,2,Tonnes,0.4
Madhya Pradesh,BALAGHAT,Bajra,2003-04,Kharif,5,Hectare,3,Tonnes,0.6
Madhya Pradesh,BARWANI,Bajra,2001-02,Kharif,9830,Hectare,3391,Tonnes,0.344964394710071
Madhya Pradesh,BARWANI,Bajra,2002-03,Kharif,9914,Hectare,2456,Tonnes,0.247730482146459
Madhya Pradesh,BARWANI,Bajra,2003-04,Kharif,10062,Hectare,4110,Tonnes,0.408467501490757
Madhya Pradesh,MANDSAUR,Groundnut,2003-04,Kharif,1824,Hectare,1752,Tonnes,0.960526315789473
Madhya Pradesh,MORENA,Groundnut,2001-02,Kharif,159,Hectare,167,Tonnes,1.0503144654088
Madhya Pradesh,MORENA,Groundnut,2002-03,Kharif,153,Hectare,85,Tonnes,0.555555555555555
Madhya Pradesh,MORENA,Groundnut,2003-04,Kharif,154,Hectare,151,Tonnes,0.98051948051948
Madhya Pradesh,NARSINGHPUR,Groundnut,2001-02,Kharif,118,Hectare,193,Tonnes,1.63559322033898
Madhya Pradesh,NARSINGHPUR,Groundnut,2002-03,Kharif,191,Hectare,176,Tonnes,0.921465968586387
Madhya Pradesh,NARSINGHPUR,Groundnut,2003-04,Kharif,88,Hectare,130,Tonnes,1.47727272727272
Madhya Pradesh,NEEMUCH,Groundnut,2001-02,Kharif,5012,Hectare,4945,Tonnes,0.986632083000798
Madhya Pradesh,NEEMUCH,Groundnut,2002-03,Kharif,4913,Hectare,,Tonnes,0.465703236311825
Madhya Pradesh,NEEMUCH,Groundnut,2003-04,Kharif,4601,Hectare,5051,Tonnes,1.09780482503803
Madhya Pradesh,PANNA,Groundnut,2001-02,Kharif,201,Hectare,198,Tonnes,0.985074626865671
Madhya Pradesh,PANNA,Groundnut,2002-03,Kharif,117,Hectare,61,Tonnes,0.521367521367521
Madhya Pradesh,PANNA,Groundnut,2003-04,Kharif,127,Hectare,89,Tonnes,0.700787401574803
Madhya Pradesh,RAISEN,Groundnut,2001-02,Kharif,69,Hectare,84,Tonnes,1.21739130434782
Madhya Pradesh,RAISEN,Groundnut,2002-03,Kharif,101,Hectare,99,Tonnes,0.98019801980198
Madhya Pradesh,RAISEN,Groundnut,2003-04,Kharif,131,Hectare,164,Tonnes,1.25190839694656
Madhya Pradesh,RAJGARH,Groundnut,2001-02,Kharif,1071,Hectare,656,Tonnes,0.6125116713352
Madhya Pradesh,RAJGARH,Groundnut,2002-03,Kharif,1107,Hectare,431,Tonnes,0.389340560072267
Madhya Pradesh,RAJGARH,Groundnut,2003-04,Kharif,1151,Hectare,1225,Tonnes,1.0642919200695
Madhya Pradesh,BETUL,Jowar,2003-04,Kharif,51444,Hectare,71250,Tonnes,1.38500116631677
Madhya Pradesh,BHIND,Jowar,2001-02,Kharif,12079,Hectare,15237,Tonnes,
Madhya Pradesh,BHIND,Jowar,2002-03,Kharif,10530,Hectare,13362,Tonnes,
Madhya Pradesh,BHIND,Jowar,2003-04,Kharif,11025,Hectare,16106,Tonnes,1.46086167800453
Madhya Pradesh,BHIND,Jowar,2003-04,Rabi,2,Hectare,4,Tonnes,
Madhya Pradesh,BHOPAL,Jowar,2001-02,Kharif,1727,Hectare,1746,Tonnes,1.01100173711638
Madhya Pradesh,BHOPAL,Jowar,2002-03,Kharif,2515,Hectare,2559,Tonnes,1.01749502982107
Maharashtra,CHANDRAPUR,Arhar/Tur,2001-02,Kharif,27400,Hectare,,Tonnes,0.791970802919708
Maharashtra,CHANDRAPUR,Arhar/Tur,2002-03,Kharif,26800,Hectare,9100,Tonnes,0.33955223880597
Maharashtra,CHANDRAPUR,Arhar/Tur,2003-04,Kharif,26400,Hectare,17400,Tonnes,0.659090909090909
Maharashtra,DHULE,Arhar/Tur,2001-02,Kharif,7300,Hectare,1700,Tonnes,0.232876712328767
Maharashtra,DHULE,Arhar/Tur,2002-03,Kharif,9200,Hectare,2700,Tonnes,0.293478260869565
Maharashtra,DHULE,Arhar/Tur,2003-04,Kharif,9500,Hectare,3800,Tonnes,0.4
Maharashtra,GADCHIROLI,Arhar/Tur,2001-02,Kharif,1500,Hectare,1600,Tonnes,1.06666666666666
Maharashtra,GADCHIROLI,Arhar/Tur,2002-03,Kharif,1700,Hectare,1500,Tonnes,0.88235294117647
Maharashtra,GADCHIROLI,Arhar/Tur,2003-04,Kharif,2300,Hectare,2200,Tonnes,0.956521739130434
Maharashtra,GONDIA,Arhar/Tur,2001-02,Kharif,4000,Hectare,4300,Tonnes,1.075
Maharashtra,GONDIA,Arhar/Tur,2002-03,Kharif,4100,Hectare,3600,Tonnes,0.878048780487804
Maharashtra,GONDIA,Arhar/Tur,2003-04,Kharif,4400,Hectare,4200,Tonnes,0.954545454545454
Maharashtra,HINGOLI,Arhar/Tur,2001-02,Kharif,24700,Hectare,19200,Tonnes,0.777327935222672
Maharashtra,HINGOLI,Arhar/Tur,2002-03,Kharif,27000,Hectare,,Tonnes,0.681481481481481
Maharashtra,HINGOLI,Arhar/Tur,2003-04,Kharif,25500,Hectare,,Tonnes,0.88235294117647
Maharashtra,JALGAON,Arhar/Tur,2001-02,Kharif,28400,Hectare,,Tonnes,0.633802816901408
Maharashtra,JALGAON,Arhar/Tur,2002-03,Kharif,24900,Hectare,,Tonnes,0.730923694779116
Maharashtra,JALGAON,Arhar/Tur,2003-04,Kharif,25800,Hectare,,Tonnes,0.709302325581395
Maharashtra,JALNA,Arhar/Tur,2001-02,Kharif,42100,Hectare,,Tonnes,0.555819477434679
Maharashtra,JALNA,Arhar/Tur,2002-03,Kharif,48000,Hectare,,Tonnes,0.63125
Maharashtra,JALNA,Arhar/Tur,2003-04,Kharif,47900,Hectare,,Tonnes,0.398747390396659
Maharashtra,KOLHAPUR,Arhar/Tur,2001-02,Kharif,2400,Hectare,,Tonnes,0.333333333333333
Maharashtra,KOLHAPUR,Arhar/Tur,2002-03,Kharif,2600,Hectare,,Tonnes,0.384615384615384
Maharashtra,KOLHAPUR,Arhar/Tur,2003-04,Kharif,2800,Hectare,,Tonnes,0.285714285714285
Maharashtra,LATUR,Arhar/Tur,2001-02,Kharif,72800,Hectare,,Tonnes,0.671703296703296
Maharashtra,LATUR,Arhar/Tur,2002-03,Kharif,71000,Hectare,,Tonnes,0.62112676056338
Maharashtra,LATUR,Arhar/Tur,2003-04,Kharif,70800,Hectare,,Tonnes,0.638418079096045
Maharashtra,NAGPUR,Arhar/Tur,2001-02,Kharif,50600,Hectare,,Tonnes,1.11264822134387
Maharashtra,NAGPUR,Arhar/Tur,2002-03,Kharif,50000,Hectare,,Tonnes,0.534
Maharashtra,NAGPUR,Arhar/Tur,2003-04,Kharif,51100,Hectare,,Tonnes,0.632093933463796
Maharashtra,NANDED,Arhar/Tur,2001-02,Kharif,52300,Hectare,,Tonnes,0.762906309751434
Maharashtra,NANDED,Arhar/Tur,2002-03,Kharif,54900,Hectare,,Tonnes,1.00910746812386
Maharashtra,NANDED,Arhar/Tur,2003-04,Kharif,55800,Hectare,,Tonnes,0.799283154121863
Maharashtra,NANDURBAR,Arhar/Tur,2001-02,Kharif,23600,Hectare,,Tonnes,0.309322033898305
Maharashtra,NANDURBAR,Arhar/Tur,2002-03,Kharif,23100,Hectare,,Tonnes,0.272727272727272
Maharashtra,NANDURBAR,Arhar/Tur,2003-04,Kharif,23400,Hectare,,Tonnes,0.337606837606837
Maharashtra,NASHIK,Arhar/Tur,2001-02,Kharif,8900,Hectare,,Tonnes,0.426966292134831
Maharashtra,NASHIK,Arhar/Tur,2002-03,Kharif,9000,Hectare,,Tonnes,0.755555555555555
Maharashtra,NASHIK,Arhar/Tur,2003-04,Kharif,8500,Hectare,,Tonnes,0.411764705882352
Maharashtra,OSMANABAD,Arhar/Tur,2001-02,Kharif,68100,Hectare,,Tonnes,0.515418502202643
Maharashtra,OSMANABAD,Arhar/Tur,2002-03,Kharif,81500,Hectare,,Tonnes,0.541104294478527
Maharashtra,OSMANABAD,Arhar/Tur,2003-04,Kharif,75000,Hectare,,Tonnes,0.193333333333333
Maharashtra,SOLAPUR,Bajra,2003-04,Kharif,9700,Hectare,,Tonnes,0.381443298969072
Maharashtra,WASHIM,Bajra,2001-02,Kharif,2300,Hectare,,Tonnes,0.347826086956521
Maharashtra,WASHIM,Bajra,2002-03,Kharif,2400,Hectare,,Tonnes,0.625
Maharashtra,WASHIM,Bajra,2003-04,Kharif,2000,Hectare,,Tonnes,0.45
Maharashtra,YAVATMAL,Bajra,2001-02,Kharif,7400,Hectare,,Tonnes,0.364864864864864
Maharashtra,YAVATMAL,Bajra,2002-03,Kharif,5600,Hectare,,Tonnes,0.625
Maharashtra,YAVATMAL,Bajra,2003-04,Kharif,5000,Hectare,,Tonnes,0.44
Maharashtra,AHMEDNAGAR,Banana,2003-04,Whole Year,100,Hectare,,Tonnes,111.7
Maharashtra,AKOLA,Banana,2003-04,Whole Year,500,Hectare,,Tonnes,52.5
Maharashtra,AMRAVATI,Banana,2003-04,Whole Year,400,Hectare,,Tonnes,69.975
Maharashtra,AURANGABAD,Banana,2003-04,Whole Year,200,Hectare,,Tonnes,42.95
Maharashtra,BEED,Banana,2003-04,Whole Year,200,Hectare,,Tonnes,65.65
Maharashtra,BHANDARA,Banana,2003-04,Whole Year,100,Hectare,,Tonnes,24.2
Maharashtra,BULDHANA,Banana,2003-04,Whole Year,1200,Hectare,,Tonnes,48.275
Maharashtra,DHULE,Banana,2003-04,Whole Year,400,Hectare,,Tonnes,97.4
Maharashtra,HINGOLI,Banana,2003-04,Whole Year,3100,Hectare,,Tonnes,53.0483870967741
Maharashtra,JALGAON,Banana,2003-04,Whole Year,35900,Hectare,,Tonnes,66.5972144846796
Maharashtra,JALNA,Banana,2003-04,Whole Year,300,Hectare,,Tonnes,59.8666666666666
Maharashtra,KOLHAPUR,Banana,2003-04,Whole Year,500,Hectare,,Tonnes,47.06
Maharashtra,LATUR,Banana,2003-04,Whole Year,100,Hectare,,Tonnes,64.3
Maharashtra,NANDED,Banana,2003-04,Whole Year,6600,Hectare,,Tonnes,53.2954545454545
Maharashtra,NANDURBAR,Banana,2003-04,Whole Year,3100,Hectare,,Tonnes,70.3774193548387
Maharashtra,OSMANABAD,Banana,2003-04,Whole Year,100,Hectare,,Tonnes,75.1
Maharashtra,PARBHANI,Banana,2003-04,Whole Year,2300,Hectare,,Tonnes,53.1521739130434
Maharashtra,PUNE,Banana,2003-04,Whole Year,900,Hectare,,Tonnes,84.8333333333333
Maharashtra,AHMEDNAGAR,Gram,2002-03,Rabi,64500,Hectare,,Tonnes,0.410852713178294
Maharashtra,AHMEDNAGAR,Gram,2003-04,Rabi,50900,Hectare,,Tonnes,0.402750491159135
Maharashtra,AKOLA,Gram,2001-02,Rabi,22300,Hectare,,Tonnes,0.57847533632287
Maharashtra,AKOLA,Gram,2002-03,Rabi,24300,Hectare,,Tonnes,0.662551440329218
Maharashtra,AKOLA,Gram,2003-04,Rabi,26200,Hectare,,Tonnes,0.633587786259541
Maharashtra,AMRAVATI,Gram,2001-02,Rabi,33500,Hectare,,Tonnes,0.86865671641791
Maharashtra,AMRAVATI,Gram,2002-03,Rabi,35900,Hectare,,Tonnes,0.754874651810585
Maharashtra,AMRAVATI,Gram,2003-04,Rabi,37300,Hectare,,Tonnes,0.769436997319034
Maharashtra,AURANGABAD,Gram,2001-02,Rabi,41500,Hectare,,Tonnes,0.501204819277108
Maharashtra,AURANGABAD,Gram,2002-03,Rabi,40800,Hectare,,Tonnes,0.578431372549019
Maharashtra,AURANGABAD,Gram,2003-04,Rabi,36700,Hectare,,Tonnes,0.405994550408719
Maharashtra,BEED,Gram,2001-02,Rabi,25200,Hectare,,Tonnes,0.428571428571428
